Author,Title,Description,Categories,Publisher,PublishedDate,Language,BookType,PageCount,ISBN,imageLinks
N/A,MY BOOK OF SECRETS (REFRESH).,N/A,N/A,N/A,2017,un,BOOK,N/A,9781488909160,http://books.google.com/books/content?id=anVEtAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
N/A,Alphabet,N/A,Alphabet books,N/A,2019,un,BOOK,24,9781488915048,http://books.google.com/books/content?id=k_MMywEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
James Davies (Illustrator),Stories for 3 Year-olds,N/A,Animals,N/A,2018,un,BOOK,N/A,9781488914461,N/A
N/A,Animals,N/A,Animals,N/A,2019,un,BOOK,24,9781488914928,http://books.google.com/books/content?id=a9wuywEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
N/A,Snow White and the Seven Dwarf,Meet sweet Snow White and her seven adorable friends and follow their adventures.,N/A,N/A,2016,un,BOOK,N/A,9781488904851,N/A
N/A,Bedtime,N/A,Board books,N/A,2019,un,BOOK,24,9781488914867,http://books.google.com/books/content?id=l5n5ygEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Hinkler Books Staff,Kindergarten Scholar,"Children will enjoy lots of fun activities in these multi-curriculum workbooks!Each workbook has 64 pages of essential skill exercises in language arts, maths, science and social studies.Use these books to review, reinforce, or accelerate learning.",N/A,N/A,2010-06-01,un,BOOK,64,9781741859126,http://books.google.com/books/content?id=qy9ItwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Hinkler Books Staff,Kindergarten Basics,The School Zone Basics series can be used to reinforce what is being taught at school or introduce new skills to a child who needs more challenging material. The introduction of each skill is presented with clear examples and an appropriate amount of practice problems. The exercises are grade appropriate and cover essential basics needed for future success in school.,N/A,N/A,2009-12-01,un,BOOK,64,9781741859089,http://books.google.com/books/content?id=3emxuAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Hinkler Books Staff,Preschool Basics,The School Zone Basics series can be used to reinforce what is being taught at school or introduce new skills to a child who needs more challenging material. The introduction of each skill is presented with clear examples and an appropriate amount of practice problems. The exercises are grade appropriate and cover essential basics needed for future success in school.,N/A,N/A,2009-12-01,un,BOOK,64,9781741859096,http://books.google.com/books/content?id=M2ipuAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
"Hinkler Books Pty, Limited",Glamour Girl Learn to be a Fashion Designer,You can be a fashion designer! Follow the tips and tricks inside this cool book to create your own fun styles. This book contains everything you need to design amazing outfits in a range of different designs. The sketchbook contains: over 50 gorgeous stickers 2 stencils with amazing blank outlines handy design advice,Juvenile Nonfiction,hinkler,2013-10-01,un,BOOK,64,1743528140,http://books.google.com/books/content?id=LkgJr42IMNkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
N/A,Little Thinkers Kindergarten,"The Little Thinkers series is the perfect thinking cap for your little one! Many of the concepts in these books will be new to your little thinker. New activities can be fun, rather than frustrating. Help your child understand the questions and answers. This is your opportunity to spend quality time with your child as a supportive teacher.",N/A,N/A,2014-11,un,BOOK,64,9781743637852,http://books.google.com/books/content?id=PklPtAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Hinkler Books Staff,First Grade Basics,The School Zone Basics series can be used to reinforce what is being taught at school or introduce new skills to a child who needs more challenging material. The introduction of each skill is presented with clear examples and an appropriate amount of practice problems. The exercises are grade appropriate and cover essential basics needed for future success in school.,N/A,N/A,2009-12-01,un,BOOK,64,9781741859072,http://books.google.com/books/content?id=NNSnuAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
N/A,Numbers,N/A,Board books,N/A,2019,un,BOOK,24,9781488914980,http://books.google.com/books/content?id=d5YUywEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
